game_id,attendance,period,home_team,away_team,home_points,away_points,pdo,fenwick_pct,corsi_pct,on_ice_shots_differential,on_ice_shots_pct,average_shot_distance,on_ice_shots_against,on_ice_shots_for,fenwick_total,fenwick_against,fenwick_for,corsi_total,corsi_against,corsi_for,away_pdo,away_fenwick_pct,away_corsi_pct
2a2e3173-f156-4082-a939-9e2a09836b63,18374.0,3.0,Stars,Kings,5,2,13.438,0.542,0.552,5.0,0.54,33.6,29.0,34.0,7.0,38.0,45.0,12.0,52.0,64.0,7.175,0.458,0.448
c64ae18d-e44b-4f96-a3dd-7a8f2cd59139,12523.0,3.0,Blackhawks,Islanders,1,3,5.409,0.481,0.473,-9.0,0.39,28.7,25.0,16.0,-2.0,27.0,25.0,-4.0,39.0,35.0,10.055,0.519,0.527
18465ba2-232d-4782-9ae3-924f98f13895,16812.0,3.0,Oilers,Predators,7,4,19.726,0.557,0.584,6.0,0.571,28.3,18.0,24.0,7.0,27.0,34.0,15.0,37.0,52.0,18.211,0.443,0.416
3ab26f47-141a-4287-8898-97bd10c594c1,16803.0,3.0,Flames,Kraken,4,5,10.808,0.646,0.602,15.0,0.647,35.7,18.0,33.0,19.0,23.0,42.0,19.0,37.0,56.0,20.099999999999998,0.354,0.398
24578e8a-9317-473c-9aa8-fc5fbb8be931,4600.0,3.0,Coyotes,Panthers,3,1,15.276,0.365,0.33,-20.0,0.292,47.0,34.0,14.0,-20.0,47.0,27.0,-33.0,65.0,32.0,3.2569999999999997,0.635,0.67
b59dd20f-4b46-493e-85ee-d659de597239,18548.0,3.0,Canucks,Devils,2,5,9.565,0.421,0.455,-13.0,0.377,32.0,33.0,20.0,-12.0,44.0,32.0,-9.0,55.0,46.0,14.413,0.579,0.545
36ae93da-ecd7-4e8a-a0fb-d214819cf223,10058.0,5.0,Sharks,Ducks,5,6,12.286,0.506,0.481,0.0,0.5,28.8,34.0,34.0,1.0,42.0,43.0,-4.0,54.0,50.0,12.286,0.494,0.519
a4f49593-e06d-4edb-a5c9-712e82621c37,18437.0,3.0,Maple Leafs,Flyers,5,2,12.32,0.652,0.685,14.0,0.64,33.4,18.0,32.0,21.0,24.0,45.0,34.0,29.0,63.0,8.886,0.348,0.315
f904c0d8-0b60-4d43-bed7-b2ae726007ed,12201.0,3.0,Sabres,Penguins,6,3,19.057,0.574,0.543,9.0,0.596,49.8,19.0,28.0,9.0,26.0,35.0,7.0,37.0,44.0,15.118,0.426,0.457
523e1d61-7a65-48f5-a67b-63dcc549b6ee,19092.0,5.0,Lightning,Hurricanes,3,4,12.445,0.375,0.378,-16.0,0.357,36.7,36.0,20.0,-18.0,45.0,27.0,-24.0,61.0,37.0,6.385,0.625,0.622
8ee834cd-3910-4e5d-a9e2-b70b3fc73d5d,18527.0,3.0,Red Wings,Capitals,3,1,12.471,0.46,0.432,-7.0,0.431,37.3,29.0,22.0,-5.0,34.0,29.0,-11.0,46.0,35.0,3.785,0.54,0.568
cb6011b3-aed3-4128-81d5-b4bdf8906f62,16043.0,3.0,Senators,Golden Knights,4,5,9.539,0.616,0.645,15.0,0.615,38.4,25.0,40.0,20.0,33.0,53.0,31.0,38.0,69.0,16.512999999999998,0.384,0.355
c4d0cfa2-c2a5-47d3-aefd-60d14fc55030,18006.0,3.0,Rangers,Bruins,2,5,10.865,0.426,0.419,-10.0,0.396,38.0,29.0,19.0,-10.0,39.0,29.0,-15.0,54.0,39.0,14.4,0.574,0.581
13ddb2e6-bbda-40bd-bf7f-9ea8cc8f317e,18096.0,3.0,Blues,Islanders,2,5,6.7330000000000005,0.581,0.556,8.0,0.569,33.3,25.0,33.0,14.0,36.0,50.0,11.0,44.0,55.0,17.641,0.419,0.444
41adb86f-a0ed-4c14-b105-1e2b29fb409d,13729.0,4.0,Jets,Canadiens,3,2,9.209000000000001,0.6,0.605,14.0,0.64,32.4,18.0,32.0,14.0,28.0,42.0,18.0,34.0,52.0,10.017,0.4,0.395
dabc8397-77ab-4b58-96d2-6b5493cad368,17221.0,3.0,Wild,Kraken,0,4,0.826,0.429,0.48,-2.0,0.475,44.3,21.0,19.0,-8.0,32.0,24.0,-3.0,39.0,36.0,18.4,0.571,0.52
8d92e60e-cc7e-4d03-93e9-b86ab2e15169,16658.0,4.0,Blackhawks,Kings,2,1,11.47,0.373,0.356,-16.0,0.34,39.8,33.0,17.0,-19.0,47.0,28.0,-30.0,67.0,37.0,3.895,0.627,0.644
4c8d5c85-add0-4019-8336-4f4342840a2c,17021.0,3.0,Oilers,Devils,3,4,9.009,0.455,0.44,-7.0,0.452,28.3,40.0,33.0,-9.0,54.0,45.0,-15.0,70.0,55.0,10.217,0.545,0.56
fb856218-ed5b-4ea1-a100-003b17d640f4,16984.0,3.0,Flames,Predators,1,4,4.175,0.471,0.529,0.0,0.5,38.1,25.0,25.0,-4.0,37.0,33.0,6.0,48.0,54.0,13.467,0.529,0.471
2eae89ad-645e-4f86-b2af-82000fadb980,4600.0,3.0,Coyotes,Stars,2,7,7.506,0.568,0.551,2.0,0.519,49.5,26.0,28.0,10.0,32.0,42.0,10.0,44.0,54.0,20.333,0.432,0.449
f7068eb9-231e-4cb9-a494-484d04a9a584,18760.0,3.0,Canucks,Ducks,8,5,17.839,0.64,0.587,16.0,0.621,34.2,25.0,41.0,21.0,27.0,48.0,16.0,38.0,54.0,16.93,0.36,0.413
b6caac51-42db-4cb5-b6cc-e19018b3d9e4,10182.0,5.0,Sharks,Panthers,3,4,8.632,0.469,0.469,-1.0,0.493,30.8,37.0,36.0,-6.0,51.0,45.0,-8.0,69.0,61.0,7.723,0.531,0.531
9feba7ba-2e0a-407d-aaa9-24c799b85bed,12882.0,3.0,Avalanche,Blue Jackets,6,3,17.622999999999998,0.524,0.512,-1.0,0.49,37.7,26.0,25.0,3.0,30.0,33.0,2.0,42.0,44.0,8.533,0.476,0.488
92a18877-65c7-403c-b2ea-f07fec63d464,18727.0,3.0,Hurricanes,Sabres,5,3,16.08,0.525,0.507,2.0,0.525,47.5,19.0,21.0,3.0,29.0,32.0,1.0,37.0,38.0,12.848,0.475,0.493
91e18204-13c0-4b59-9259-462b4713bdda,19515.0,3.0,Red Wings,Islanders,3,0,12.5,0.458,0.393,0.0,0.5,40.4,19.0,19.0,-5.0,32.0,27.0,-19.0,54.0,35.0,0.885,0.542,0.607
cdbfcaff-c356-4268-a030-d3ab2417219c,12897.0,3.0,Blue Jackets,Avalanche,1,5,3.989,0.407,0.403,-13.0,0.413,36.7,44.0,31.0,-17.0,54.0,37.0,-24.0,74.0,50.0,12.068999999999999,0.593,0.597
dd44a6d2-23c8-4916-a50c-baf60d45ae39,13210.0,3.0,Jets,Blackhawks,4,0,11.8,0.576,0.592,5.0,0.541,37.5,28.0,33.0,13.0,36.0,49.0,19.0,42.0,61.0,0.892,0.424,0.408
aa8630e7-cef8-4266-ae4e-779db0719ff9,17067.0,3.0,Oilers,Stars,2,6,7.533,0.443,0.455,-2.0,0.479,34.3,25.0,23.0,-8.0,39.0,31.0,-8.0,48.0,40.0,17.633,0.557,0.545
f42f2719-546d-48d0-af25-adc05505367e,16722.0,3.0,Senators,Flyers,1,2,3.8289999999999997,0.575,0.569,6.0,0.56,31.9,22.0,28.0,11.0,31.0,42.0,16.0,50.0,66.0,8.071,0.425,0.431
1e87f9c8-5873-43d6-b33e-d1bef28810ec,18573.0,3.0,Capitals,Coyotes,2,3,6.484999999999999,0.589,0.624,10.0,0.596,36.8,21.0,31.0,13.0,30.0,43.0,23.0,35.0,58.0,12.443999999999999,0.411,0.376
92a8a475-215e-490c-85c2-9bf405485bd6,19092.0,3.0,Lightning,Sabres,5,3,17.575,0.538,0.506,7.0,0.578,21.8,19.0,26.0,5.0,30.0,35.0,1.0,44.0,45.0,13.333,0.462,0.494
4adc0234-94c4-4693-889a-0623b126a9fa,18926.0,3.0,Maple Leafs,Bruins,2,1,8.052,0.525,0.494,6.0,0.571,42.1,18.0,24.0,3.0,29.0,32.0,-1.0,42.0,41.0,5.729,0.475,0.506
dfdb2516-9175-4a08-8513-2bfc783cfc89,21105.0,3.0,Canadiens,Golden Knights,4,6,13.757,0.514,0.478,-1.0,0.492,42.5,30.0,29.0,2.0,35.0,37.0,-5.0,59.0,54.0,15.171000000000001,0.486,0.522
3d004966-6fee-4f0b-a8e5-c8694b299321,18302.0,3.0,Penguins,Kraken,2,3,6.293,0.607,0.63,7.0,0.564,35.0,24.0,31.0,18.0,33.0,51.0,28.0,40.0,68.0,11.645999999999999,0.393,0.37
